target_start_ns,target_duration_ns,target_stream,target_family,target_name,offset,context_start_ns,context_duration_ns,context_stream,context_family,context_name
36282705107,1856,7,copy / cast,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::Ten...",-2,36282700563,1408,7,GEMM / cuBLAS / CUTLASS,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)0, __nv_bfloat16, __n..."
36282705107,1856,7,copy / cast,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::Ten...",-1,36282702643,1888,7,copy / cast,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::Ten..."
36282705107,1856,7,copy / cast,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::Ten...",1,36282719636,960,7,fill,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int,..."
36282705107,1856,7,copy / cast,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::Ten...",2,36698322795,5536,7,other,_causal_conv1d_fwd_kernel
36834915685,1440,7,copy / cast,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...,-2,36698322795,5536,7,other,_causal_conv1d_fwd_kernel
36834915685,1440,7,copy / cast,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...,-1,36834827428,2240,7,other,_fused_post_conv_kernel
36834915685,1440,7,copy / cast,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...,1,36834946790,6720,7,other,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::nati..."
36834915685,1440,7,copy / cast,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...,2,36834990726,1120,7,elementwise,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::bitwise_not_kernel_cuda(at::TensorIteratorBase &)::[lambda(bool) (inst..."
36864100591,1344,7,copy / cast,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...,-2,36863981133,6912,7,Qwen hybrid / state-space,chunk_gated_delta_rule_fwd_kernel_h_blockdim64
36864100591,1344,7,copy / cast,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...,-1,36864027918,6528,7,Qwen hybrid / state-space,chunk_fwd_kernel_o
36864100591,1344,7,copy / cast,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...,1,36864159407,3936,7,other,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::..."
36864100591,1344,7,copy / cast,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...,2,36864187312,1152,7,copy / cast,[CUDA memcpy Device-to-Device]
36864187312,1152,7,copy / cast,[CUDA memcpy Device-to-Device],-2,36864100591,1344,7,copy / cast,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...
36864187312,1152,7,copy / cast,[CUDA memcpy Device-to-Device],-1,36864159407,3936,7,other,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::..."
36864187312,1152,7,copy / cast,[CUDA memcpy Device-to-Device],1,36864221424,2880,7,copy / cast,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::Ten..."
36864187312,1152,7,copy / cast,[CUDA memcpy Device-to-Device],2,36864294993,2272,7,norm / reduce,layer_norm_fwd_kernel
36864221424,2880,7,copy / cast,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::Ten...",-2,36864159407,3936,7,other,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::..."
36864221424,2880,7,copy / cast,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::Ten...",-1,36864187312,1152,7,copy / cast,[CUDA memcpy Device-to-Device]
36864221424,2880,7,copy / cast,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::Ten...",1,36864294993,2272,7,norm / reduce,layer_norm_fwd_kernel
36864221424,2880,7,copy / cast,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::Ten...",2,36864403954,23457,7,GEMM / cuBLAS / CUTLASS,ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn
